Date,EndOfMonthkWhReading,MonthTotalkWh,EstimatedDollars,ActualkWh,ActualDollars
01/20/2009,96098.0,1297.0,,1297.0,154.79
02/17/2009,96994.0,896.0,,896.0,107.84
03/20/2009,98014.0,1020.0,,1020.0,124.09
04/16/2009,98870.0,856.0,,856.0,102.71
05/18/2009,99981.0,1111.0,,1111.0,137.42
06/16/2009,1318.0,1337.0,,1337.0,170.51
07/17/2009,3094.0,1776.0,,1776.0,242.16
08/18/2009,4874.0,1780.0,,1780.0,242.77
09/17/2009,6233.0,1359.0,,1359.0,178.44
10/19/2009,7166.0,933.0,,933.0,114.56
11/17/2009,7918.0,752.0,,752.0,90.19
12/17/2009,8712.0,794.0,,794.0,95.83
01/20/2010,9428.0,716.0,,716.0,90.95
02/17/2010,10115.0,687.0,,687.0,86.86
03/16/2010,10776.0,661.0,,661.0,83.21
04/16/2010,11585.0,809.0,,809.0,104.06
05/18/2010,12299.0,714.0,,714.0,90.67
06/17/2010,13097.0,798.0,,798.0,102.51
07/19/2010,14039.0,942.0,,942.0,129.07
08/17/2010,15006.0,967.0,,967.0,122.80
09/17/2010,16023.0,1017.0,,1017.0,140.60
10/19/2010,16848.0,825.0,,825.0,111.63
11/17/2010,17518.0,670.0,,670.0,88.51
12/16/2010,18219.0,701.0,,701.0,93.13
01/19/2011,18967.0,748.0,,748.0,106.27
02/16/2011,19631.0,664.0,,664.0,92.93
03/17/2011,20234.0,603.0,,603.0,83.21
04/18/2011,20892.0,658.0,,658.0,91.98
05/17/2011,21490.0,598.0,,598.0,82.41
06/16/2011,22199.0,709.0,,709.0,100.12
07/19/2011,23292.0,1093.0,,1093.0,163.32
08/17/2011,24451.0,1101.0,162.59,1167.0,166.71
